title,genre,actors,view rating,release date,summary,score,votes,
Hemlock Grove,"Drama, Horror, Mystery, Thriller","Landon Liboiron, Joel de la Fuente, Famke Janssen, Bill Skarsgård",TV-MA,19 Apr 2013,"Secrets are just a part of daily life in the small Pennsylvania town of Hemlock Grove, where the darkest evils hide in plain sight.",7.1,36971,
"Girl, Interrupted","Biography, Drama","Winona Ryder, Angelina Jolie, Clea DuVall, Brittany Murphy",R,14 Jan 2000,"Diagnosed with a disorder, Susanna Kaysen is sent to a mental institution, where she enters the skewed world of people who truly belong on the inside.",7.3,165194,
LEGO Ninjago: Masters of Spinjitzu: King of Shadows,"Animation, Action","Alex Medtlek, Celine Medtlek, Phillip Radon, Joachim Caspers",,01 Apr 2011,"The four young masters of Spinjitzu have come together in hopes of defeating Lord Garmadon. But first, they must recover the hidden Golden Weapons.",7.4,236,
Goon,"Comedy, Drama, Sport","Alison Pill, Jay Baruchel, Seann William Scott, Liev Schreiber",R,24 Feb 2012,"When hes seen dispatching a rude opposing hockey player in the stands, Doug Glatt is hired by a rival team ... for his fighting skills.",6.8,83892,
LEGO Ninjago: Masters of Spinjitzu: Way of the Ninja,"Animation, Action","Alex Medtlek, Celine Medtlek, Phillip Radon, Joachim Caspers",,01 Apr 2011,Kai grew up dreaming of becoming a blacksmith like his father. But that was before skeleton warriors ransacked his village and abducted his sister.,7.4,236,
The Iron Giant,"Animation, Action, Adventure, Comedy, Drama, Family, Sci-Fi","James Gammon, Harry Connick Jr., Jennifer Aniston, Vin Diesel",PG,06 Aug 1999,"Amid the backdrop of the Cold War, a 9-year-old boy befriends a colossal yet gentle robot that a paranoid government agent is intent on destroying.",8,172739,
Ghosts of Girlfriends Past,"Comedy, Fantasy, Romance","Michael Douglas, Breckin Meyer, Jennifer Garner, Matthew McConaughey",PG-13,01 May 2009,"At his brothers wedding, playboy Connor discovers that the ghosts of his many girlfriends have come to give him a piece of their mind.",5.8,84960,
Top Gear,"Adventure, Comedy, Reality-TV, Talk-Show","James May, Jeremy Clarkson, Richard Hammond, The Stig",TV-PG,20 Oct 2002,Jeremy Clarkson and his crew of car lovers test the limits of luxury vehicles in this hit show that also features celebrities racing on a test track.,8.7,109000,
The Get Down,"Drama, Music, Musical","Herizen F. Guardiola, Shameik Moore, Justice Smith, Skylan Brooks",TV-MA,12 Aug 2016,"Told through the lives and music of a ragtag crew of South Bronx teens, The Get Down is a mythic saga of the transformation of 1970s New York City.",8.3,21074,
Good Will Hunting,"Drama, Romance","Stellan Skarsgård, Matt Damon, John Mighton, Ben Affleck",R,09 Jan 1998,"When professors discover that an aimless janitor is also a math genius, a therapist helps the young man confront the demons that are holding him back.",8.3,863226,
Son of God,"Biography, Drama, History","Diogo Morgado, Greg Hicks, Darwin Shaw, Adrian Schiller",PG-13,28 Feb 2014,"A follow-up to the landmark 2013 miniseries The Bible, this feature follows the life of Jesus Christ from his humble birth to his resurrection.",5.7,18314,
Green Street,"Crime, Drama, Sport, War","Elijah Wood, Charlie Hunnam, Claire Forlani, Marc Warren",R,09 Sep 2005,"After a bogus drug scandal, a Harvard newspaper editor is kicked out of school and flies to London to live with his sister and her family.",7.5,142233,
The Hunger Games,"Action, Adventure, Sci-Fi, Thriller","Jennifer Lawrence, Stanley Tucci, Wes Bentley, Willow Shields",PG-13,23 Mar 2012,"In a dystopian future, teens Katniss and Peeta are drafted for a televised event pitting young competitors against each other in a fight to the death.",7.2,845462,
LEGO Ninjago: Masters of Spinjitzu,"Animation, Action","Alex Medtlek, Celine Medtlek, Phillip Radon, Joachim Caspers",,01 Apr 2011,"Kai, Jay, Cole and Zane must master their elemental powers and Spinjitzu weapons to protect the land of Ninjago, which also has an underworld.",7.4,236,
Grown Ups,Comedy,"Adam Sandler, Kevin James, Chris Rock, David Spade",PG-13,25 Jun 2010,"Five childhood pals reunite after 30 years at a lake house to mourn the loss of their old basketball coach, and act quite juvenile for their age.",5.9,228737,
Just Go With It,"Comedy, Romance","Nick Swardson, Adam Sandler, Jennifer Aniston, Nicole Kidman",PG-13,11 Feb 2011,"When Danny lies to his girlfriend that hes a divorced family man, he recruits his employee and her kids to play his ex-wife and kids.",6.4,221917,
Gremlins,"Comedy, Fantasy, Horror","Keye Luke, John Louie, Don Steele, Hoyt Axton",PG,08 Jun 1984,A man brings home a cute creature as a Christmas present for his son that spawns a horrifying army of devilish -- and dangerous -- little beasts.,7.3,200318,
Gamer,"Action, Sci-Fi, Thriller","Gerard Butler, Amber Valletta, Kyra Sedgwick, Michael C. Hall",R,04 Sep 2009,"In this futuristic thriller, all hell breaks loose when the star combatant of an online game escapes, intent on taking out its evil architect.",5.8,130149,
Grace and Frankie,Comedy,"Lily Tomlin, Sam Waterston, Martin Sheen, Jane Fonda",TV-MA,08 May 2015,"Jane Fonda and Lily Tomlin co-star as two women forced to reinvent their lives in this funny, honest new Netflix Original series.",8.3,39088,
Trailer Park Boys Live In F**kin Dublin,Comedy,"Robb Wells, Patrick Roach, Mike Smith, John Paul Tremblay",,01 Jun 2014,The boys head to Ireland after winning a contest to see Rush but are arrested by immigration and must perform a community service puppet show.,6,1405,
Iliza Shlesinger: Freezing Hot,"Documentary, Comedy",Iliza Shlesinger,TV-MA,23 Jan 2015,"Smart and brazen comedian Iliza Shlesinger applies her fresh, laugh-out-loud perspective to the universal struggles between men and women.",6.8,2304,
The Family Man,"Comedy, Drama, Fantasy, Romance","Jeremy Piven, Nicolas Cage, Téa Leoni, Don Cheadle",PG-13,22 Dec 2000,A cutthroat investment banker who eschews emotional ties is transported into the life he might have had if he wed his college sweetheart.,6.8,104186,
Thomas and Friends: Misty Island Rescue,"Animation, Adventure, Family","Michael Angelis, David Bedella, Michael Brandon, Jules de Jongh",Not Rated,07 Sep 2010,"When his friend gets into a fix, a talking tank engine sets out to rescue him. He succeeds but subsequently ends up lost on the remote Misty Island.",5,260,
Thomas and Friends: King of the Railway,"Animation, Adventure, Comedy, Family, Fantasy","Jonathan Forbes, Mark Moraghan, David Bedella, Jules de Jongh",TV-G,17 Sep 2013,"When a special guest arrives on Sodor with a big surprise and important jobs for Thomas, Percy and James, the steam team embarks on a grand adventure.",6.5,227,
I Will Follow,Drama,"Dijon Talton, Michole Briana White, Salli Richardson-Whitfield, Omari Hardwick",Not Rated,18 Sep 2010,"Devastated after her aunt dies, Maye moves out of the home they shared and copes with her grief, yet finds comfort in the kindness of other mourners.",6,763,
Legends of the Fall,"Drama, Romance, War, Western","Anthony Hopkins, Brad Pitt, Julia Ormond, Aidan Quinn",R,13 Jan 1995,"The Ludlow clan -- father William and brothers Alfred, Tristan and Sam -- splinters when Sam leaves to fight in World War I against his dads wishes.",7.6,149991,
Misfits,"Comedy, Drama, Fantasy, Romance, Sci-Fi","Nathan Stewart-Jarrett, Joseph Gilgun, Iwan Rheon, Lauren Socha",TV-MA,19 Jul 2012,"After being sentenced to six weeks of community service, five neer-do-well teens discover that a freak storm has given them superpowers.",8.2,93502,
Out of the Furnace,"Action, Crime, Drama, Thriller","Woody Harrelson, Carl Ciarfalio, Nancy Mosser, Dendrie Taylor",R,06 Dec 2013,The brotherly bond between two blue-collar siblings is put to the test when one lands in prison and the other gets mixed up with a crime syndicate.,6.8,107363,
Just Friends,"Comedy, Romance","Chris Klein, Anna Faris, Amy Smart, Ryan Reynolds",PG-13,23 Nov 2005,"Years after high school, a once-portly nice guy comes home for the holidays and reunites with a former crush he still has feelings for.",6.2,106951,
The Fighter,"Biography, Drama, Sport","Melissa Leo, Amy Adams, Christian Bale, Mark Wahlberg",R,17 Dec 2010,"After a string of defeats, a boxer rediscovers his fighting will with help from his trainer and half-brother, a once-talented pugilist.",7.8,341531,
Frances Ha,"Comedy, Drama, Romance","Adam Driver, Mickey Sumner, Greta Gerwig, Michael Esper",R,23 Aug 2013,"Determined to make it as a modern dancer in New York, a young woman pursues her unlikely goal with more enthusiasm than natural talent.",7.5,75057,
Happy Feet,"Animation, Adventure, Comedy, Family, Music, Musical, Romance","Lombardo Boyar, Jeffrey Garcia, Johnny A. Sanchez, Carlos Alazraqui",PG,17 Nov 2006,"Unlike his pals, young penguin Mumble cant sing well enough to attract a mate, but hes blessed with an unusual gift: He can tap-dance like a champ!",6.4,170455,
Friends with Kids,"Comedy, Drama, Romance","Maya Rudolph, Adam Scott, Chris O'Dowd, Jennifer Westfeldt",R,16 Mar 2012,Friends Jason and Julie decide that the way to have kids without sacrificing their social lives or careers is to raise a child together platonically.,6.1,41146,
Fireflies in the Garden,Drama,"Willem Dafoe, Emily Watson, Carrie-Anne Moss, Ryan Reynolds",R,17 Jul 2008,"In the wake of a family tragedy, a novelist confronts his fractured relationship with his father while dealing with painful memories of his mother.",6.5,12458,
Free Willy,"Adventure, Drama, Family","Jason James Richter, Jayne Atkinson, Lori Petty, August Schellenberg",PG,16 Jul 1993,"Ordered to clean up the graffiti he painted at a marine theme park, a troubled young boy unexpectedly bonds with a killer whale on exhibit.",6,69310,
Fated to Love You,"Comedy, Romance","Choi Jin-Hyuk, Dae-chul Choi, Jang Hyuk, Jang Na-ra",TV-14,02 Jul 2014,A wealthy business heir marries an ordinary office worker after they have a one-night stand that leads to her unexpectedly becoming pregnant.,7.9,1811,
From Paris with Love,"Action, Crime, Thriller","Jonathan Rhys Meyers, Kasia Smutniak, Richard Durden, John Travolta",R,05 Feb 2010,A low-level intelligence agent gets pulled into action and espionage above his pay grade when hes ordered to assist a trigger-happy senior agent.,6.5,112444,
Friends with Money,"Comedy, Drama, Romance","Catherine Keener, Jason Isaacs, Joan Cusack, Timm Sharp",R,21 Apr 2006,"As four Los Angeles friends -- three married, one single -- move from one group event to the next, financial differences begin to take their toll.",5.7,27786,
Fair Game,"Biography, Drama, Thriller","Sonya Davison, Naomi Watts, Vanessa Chong, Anand Tiwari",PG-13,03 Dec 2010,"Valerie Plame finds her life, career and marriage in jeopardy when her own government leaks her status as a CIA operative in a political vendetta.",6.8,46899,
Pulp Fiction,"Crime, Drama","Tim Roth, Amanda Plummer, Laura Lovelace, John Travolta",R,14 Oct 1994,"Quentin Tarantinos stylized crime caper weaves together stories featuring a burger-loving hit man, his philosophical partner and a washed-up boxer.",8.9,1831004,
The Fairly OddParents,"Animation, Adventure, Comedy, Family, Fantasy","Susanne Blakeslee, Carlos Alazraqui, Daran Norris, Tara Strong",TV-Y7,30 Mar 2001,"Anythings bound to happen when youve got fairy godparents, as 10-year-old Timmy Turner discovers when he wishes for cool parents.",7.2,33949,
Fired Up,"Comedy, Sport","Eric Christian Olsen, Nicholas D'Agosto, Sarah Roemer, Molly Sims",PG-13,20 Feb 2009,"After maxing out their starring roles playing American football, two high school boys ditch training camp and volunteer to help the cheerleading squad.",6.1,42110,
Transformers Prime,"Animation, Action, Adventure, Comedy, Drama, Family, Sci-Fi","Peter Cullen, Frank Welker, Jeffrey Combs, Sumalee Montano",TV-Y7,26 Nov 2010,"With the help of three human allies, the Autobots once again protect Earth from the onslaught of the Decepticons and their leader, Megatron.",7.9,5454,
My Little Pony: Friendship Is Magic,"Animation, Adventure, Comedy, Drama, Family, Fantasy, Musical, Sci-Fi","Andrea Libman, Tabitha St. Germain, Ashleigh Ball, Tara Strong",TV-Y,10 Oct 2010,"Journey to the enchanted land of Equestria, where unicorn Twilight Sparkle and her pals have adventures and learn valuable lessons about friendship.",7.6,19044,
Special Forces,"Action, Drama, War","Diane Kruger, Benoît Magimel, Denis Ménochet, Djimon Hounsou",R,02 Nov 2011,"While covering the war in Afghanistan, journalist Elsa is kidnapped by the Taliban, and a Special Forces team races against time to rescue her.",6.4,17912,
Fireproof,"Drama, Fantasy, Romance","Erin Bethea, Stephen Dervan, Kirk Cameron, Ken Bevel",PG,26 Sep 2008,"A dedicated firefighters marriage is about to end in divorce, but just when hope seems to be running out, his Christian father intervenes.",6.5,21384,
The Fall,"Crime, Drama, Thriller","Gillian Anderson, Aisling Franciosi, John Lynch, Jamie Dornan",TV-MA,12 May 2013,"When the Belfast police are stalled in their investigation of a spate of murders, Detective Superintendent Stella Gibson is drafted to investigate.",8.2,83814,
Fate/Zero,"Animation, Action, Drama, Fantasy, Thriller","Kari Wahlgren, Sayaka Ôhara, Ayako Kawasumi, Jôji Nakata",TV-MA,01 Oct 2011,"After three unsettled battles for the mystical Holy Grail, an artifact that grants a miracle to those who hold it, a fourth war begins.",8.3,10263,
Friends,"Comedy, Romance","Matt LeBlanc, Courteney Cox, Jennifer Aniston, Lisa Kudrow",TV-PG,22 Sep 1994,"This hit sitcom follows the merry misadventures of six 20-something pals as they navigate the pitfalls of work, life and love in 1990s Manhattan.",8.9,828187,
Chris DElia: Incorrigible,Comedy,Chris D'Elia,TV-MA,17 Apr 2015,Stand-up comedian Chris DElia covers everything from how to improve the NFL to why dating is evil and that babies should grow up before theyre born.,6.5,1424,
Shoot Em Up,"Action, Thriller","Paul Giamatti, Stephen McHattie, Monica Bellucci, Clive Owen",R,07 Sep 2007,"When a mysterious loner delivers a womans baby during an intense shoot-out, he inadvertently runs afoul of the ruthless Mr. Hertz.",6.7,144439,
Whats Eating Gilbert Grape,Drama,"Johnny Depp, Leonardo DiCaprio, Juliette Lewis, Mary Steenburgen",PG-13,04 Mar 1994,"In a backwater Iowa town, young Gilbert is torn between taking care of his troubled family and a girl who shows him new possibilities for his life.",7.8,215692,
Girl with a Pearl Earring,"Biography, Drama, Romance","Colin Firth, Tom Wilkinson, Scarlett Johansson, Judy Parfitt",PG-13,30 Jan 2004,"In this adaptation of the best-selling novel, a young housemaid with a hidden appreciation for art becomes the muse of Dutch master painter Vermeer.",6.9,72488,
Even the Rain,"Drama, History","Luis Tosar, Karra Elejalde, Gael García Bernal, Juan Carlos Aduviri",Not Rated,05 Jan 2011,"While making a film about the incursion of Christopher Columbus in the New World, a director finds the Bolivian locals protesting modern exploitation.",7.4,12778,
"See No Evil, Hear No Evil","Comedy, Crime","Kevin Spacey, Joan Severance, Gene Wilder, Richard Pryor",R,12 May 1989,"Wally is blind, and Dave is deaf. But when a man is murdered outside the newsstand where they work, the police collar the unlikely duo.",6.9,48866,
